Segment Code	Frequency
11542	96
11540	3139
11541	1367
11547	12782
11544	37822
11545	2747
11548	11223
11549	23547
344	597979
345	455562
346	4146732
347	1246099
340	1453616
341	1207233
342	1348686
343	427850
348	1357757
349	1024622
12709	188
3236	1
298	1981505
296	517833
297	296479
294	395611
295	1361994
293	3321748
290	734813
291	96827
278	13092
279	1927215
9638	1066862
9321	977
22879	1128716
2638	1906254
5407	3431571
5406	3504146
5405	4838648
27500	140
27506	7
5182	237983
5183	3599291
1993	567
5181	381746
1995	875
5187	2228998
5184	1337989
3200	26281
1999	4929
1998	2855
5188	268794
5189	50355
3209	1076
3208	497
27508	469
14712	573
14714	55
5409	4074471
14716	616
14717	1
5408	1992923
5450	567585
5451	1064268
5452	1092937
5453	1406472
5454	2752167
5455	1553245
1007	4202643
1287	31083
1281	1065022
1280	1392763
1283	1228265
1282	1567712
1289	259157
1288	10913
516	1386
459	526
12833	730
12832	147
12830	304
12837	3306
12836	462
12835	341
12834	337
23613	16407
23612	5881
12839	1202
12838	3801
23616	9235
23615	74907
23614	3729
407	74220
450	9117
405	24188
404	21605
403	125875
402	5079
401	6897
23298	318178
23295	83202
23291	42165
23290	55155
23477	77363
23476	209024
23475	132596
23474	109293
1344	3678
5101	110
23479	136398
23478	263644
23274	36677
456	3885
457	324
379	8627
378	2033318
371	11989
373	429087
372	2532
375	709447
374	676054
377	1205223
376	1450896
5107	126
393	137392
392	191721
391	3700100
390	2070288
397	4949
396	2507173
12714	396
12715	6276
399	7366
398	4800
244	17846
247	52061
246	9889
241	121343
240	48660
243	56599
242	762
249	8405
248	30319
9241	6685125
9240	1236526
13448	20135
13447	20821
1367	509
3085	20234
23151	2535598
9623	535
3229	34
3087	13721
9624	213
3086	3064
3081	680
23155	330726
6216	1345355
3083	884
1976	104
23157	1043823
3227	100565
6219	2179388
1365	511
1974	10
1971	3084
1115	10436806
1362	1326
3233	1
3230	73
3231	8255
5199	3595143
5198	1511472
5195	84559
5194	372561
5197	3061437
5196	668716
5191	148692
1961	2960
10082	522254
27547	38
27545	246
27544	133
27543	422
27542	144
27541	16
27540	1031
5449	2092648
5448	3321241
7069	1295398
7068	1327582
5443	2539904
5442	1474533
7065	547823
5440	1095418
5447	1459662
5446	1011306
5445	793940
5444	1356378
1143	1339599
1140	29299
1141	2869196
1146	5832721
1144	126340
1145	91
1546	963
1547	913
1544	1414
1545	1464
1548	493
1549	731
31751	4697133
31750	416572
31753	1758158
31752	6075765
10	2662160
12828	64
12829	289
9989	6326076
7398	273388
410	2972
411	14632
412	6362
413	5469
23280	621845
23285	282299
23267	799343
23268	1330779
23269	255807
13999	13574
11365	3082
368	8772
369	1985
367	1453
364	303
365	8041
362	6411
363	2066
360	1378811
361	7449
16129	595233
16128	677037
16125	1359236
16124	1022049
16127	773201
16126	1308378
380	373273
382	2752912
383	2595402
384	154058
385	280452
386	1680961
387	1791170
12727	1857
389	2540436
12725	4593
12724	3
6172	143852
12722	125
12721	346
6171	2424886
1369	1780090
9962	3500
9969	1939037
258	18903
259	4804
252	35137
253	1973
250	54859
251	7500
256	70263
254	8498
255	9101
3212	137
2518	1403
2514	544
2515	582
2516	67
2517	500
2512	2013
2513	7
11528	1417
6223	2098134
6221	871441
6226	451092
6227	3180824
6228	14
6229	5615895
9290	2369
9296	1596
9297	568
1979	655
1978	1391
1977	193
3224	881433
9298	2264
3226	193
3221	881407
3220	881405
3223	881812
3222	881394
10180	1451252
6999	1398576
14742	47
1552	3697
27521	105
58	113524
1551	19845
1553	3716
1101	3233772
59	254670
1554	4141
55	2597683
54	2720059
57	294467
56	829336
51	935581
50	4978469
53	4143037
52	3534981
537	11460
536	30263
535	26401
534	49948
533	35617
532	157132
531	459382
530	2338803
539	3837296
538	23947
5139	28731
14746	50
5137	46092
1907	107494
1975	133
429	1065
428	1696
422	2181
425	5093
424	4987
427	1707
426	2053
14744	261
23252	11083
23257	290715
23258	201780
15335	245042
15334	16543
15336	3
11356	694239
23380	914329
23383	2150788
7543	1558384
7544	31
16138	668084
16139	713004
16136	3130525
16137	1221657
16134	530160
16135	1121012
16132	740006
16133	959114
16130	765240
16131	483158
6169	178943
6168	1727292
12730	57
6163	22799
6162	10391
6165	5696
6164	5993
6167	22729
6166	87891
9970	2313
16222	3222204
226	37378
225	36712
224	2727
223	47579
222	34161
221	38924
220	39202
27532	41
151	110431
150	121225
153	314225
152	13585
2501	4354
10179	123252
2729	2844893
23356	302706
7233	4364818
7231	1933778
21249	6028
27491	603
27490	16
27495	55
27494	1007
27497	6
27496	7
1949	1428
21408	5481932
1942	377
1943	1938
1940	2398
1941	148
1946	1922
1947	937
1944	193
1945	480
3207	1490
3206	469
3205	3363
3204	1154
1968	207
3202	1
1700	1883
1701	822
1702	1947
1703	810
1704	2186
3201	374
1706	5144
1707	1659
1708	395
1709	3344
5185	1168213
1128	96856
1129	5518
1120	1586011
1121	1596493
1122	2778971
1123	1868
1124	466
1125	297069
1126	4465301
1127	121976
524	75043
525	110744
526	7612
520	1749
521	7267
522	26760
523	45108
8736	1755985
529	166262
12842	814
12843	913
12841	285
12844	93
438	3866
439	109
436	4264
437	6818
434	3445
435	12509
433	15
431	1419
23484	71761
23482	318003
23483	114009
23480	69821
23481	80104
23248	431765
23244	50597
5704	6310677
5705	8007085
5706	7197905
5707	6982259
5703	3674310
9267	14
1435	159
14715	15
9271	837
16219	2686329
16218	3092275
16587	1628365
16586	147142
996	1652219
238	42993
239	115491
234	11312
235	16817
236	112242
237	49208
230	347
231	2411141
16589	1178590
16588	855752
9277	735
144	1327771
145	1455020
143	2451743
141	795402
149	32865
21349	768
5141	30
9168	3400513
9169	1666268
9164	2736295
9165	140
9167	3179299
9160	4371200
9161	1918165
9162	3082271
9163	1434
7969	731
27482	258
27483	605
27480	293
27481	47
27486	270
27487	195
27488	3
27489	2962
1957	150
1956	5943
1951	3635
1950	1644
1952	12
1959	2904
1481	6235648
1480	5231
12732	5263
1713	6560
1712	1395
1711	4622
1710	743
1715	6230
1714	87
12735	111
12736	123
