SESSIONS	TIER1	TIER2	TIER3	TIER4		TIER1 : 1 session/1 page
1	916107	1021988	343193	7186		TIER2 : 1 session/2+ page
2	0	0	343193	5552		TIER3: 2+ sessions/2+ pages
3	0	0	180845	4609		TIER4: Booking customers
4	0	0	114193	3912		
5	0	0	78700	3357		
6	0	0	57478	2920		
7	0	0	43131	2571		
8	0	0	33500	2286		
9	0	0	26666	2008		
10	0	0	21488	1787		
11	0	0	17579	1611		
12	0	0	14699	1439		
13	0	0	12427	1290		
14	0	0	10565	1165		
15	0	0	9043	1057		
16	0	0	7824	972		
17	0	0	6872	894		
18	0	0	6008	807		
19	0	0	5272	740		
20	0	0	4661	678		
21	0	0	4159	621		
22	0	0	3692	565		
23	0	0	3315	516		
24	0	0	2982	480		
25	0	0	2707	450		
26	0	0	2443	423		
27	0	0	2224	400		
28	0	0	2039	375		
29	0	0	1872	356		
30	0	0	1747	337		
31	0	0	1612	318		
32	0	0	1499	300		
33	0	0	1375	281		
34	0	0	1282	259		
35	0	0	1196	241		
36	0	0	1131	232		
37	0	0	1040	219		
38	0	0	984	211		
39	0	0	918	200		
40	0	0	862	189		
41	0	0	810	180		
42	0	0	760	165		
43	0	0	721	159		
44	0	0	681	156		
45	0	0	641	149		
46	0	0	605	142		
47	0	0	576	139		
48	0	0	544	133		
49	0	0	521	126		
50	0	0	485	123		
51	0	0	452	120		
52	0	0	437	117		
53	0	0	412	113		
54	0	0	387	108		
55	0	0	368	106		
56	0	0	341	102		
57	0	0	324	100		
58	0	0	307	94		
59	0	0	292	90		
60	0	0	276	86		
61	0	0	265	84		
62	0	0	258	78		
63	0	0	245	77		
64	0	0	232	76		
65	0	0	213	72		
66	0	0	200	68		
67	0	0	193	65		
68	0	0	184	64		
69	0	0	179	63		
70	0	0	169	61		
71	0	0	156	60		
72	0	0	148	60		
73	0	0	144	57		
74	0	0	138	55		
75	0	0	133	53		
76	0	0	125	52		
77	0	0	121	51		
78	0	0	117	49		
79	0	0	114	47		
80	0	0	106	47		
81	0	0	101	43		
82	0	0	95	42		
83	0	0	87	38		
84	0	0	85	38		
85	0	0	83	37		
86	0	0	82	36		
87	0	0	77	35		
88	0	0	72	35		
89	0	0	70	33		
90	0	0	69	31		
91	0	0	64	31		
92	0	0	62	31		
93	0	0	60	29		
94	0	0	58	29		
95	0	0	55	29		
96	0	0	52	27		
97	0	0	51	25		
98	0	0	48	24		
99	0	0	47	24		
100	0	0	46	23		
101	0	0	45	23		
102	0	0	44	22		
103	0	0	44	22		
104	0	0	43	22		
105	0	0	43	21		
106	0	0	38	20		
107	0	0	38	20		
108	0	0	38	20		
109	0	0	38	20		
110	0	0	37	20		
111	0	0	36	20		
112	0	0	36	20		
113	0	0	35	19		
114	0	0	35	19		
115	0	0	35	19		
116	0	0	31	19		
117	0	0	31	19		
118	0	0	28	19		
119	0	0	26	18		
120	0	0	26	18		
121	0	0	25	18		
122	0	0	24	17		
123	0	0	24	17		
124	0	0	24	15		
125	0	0	24	14		
126	0	0	24	14		
127	0	0	23	14		
128	0	0	22	14		
129	0	0	22	13		
130	0	0	20	12		
131	0	0	18	11		
132	0	0	17	9		
133	0	0	16	9		
134	0	0	16	9		
135	0	0	16	9		
136	0	0	16	8		
137	0	0	16	8		
138	0	0	15	8		
139	0	0	15	8		
140	0	0	14	7		
141	0	0	14	7		
142	0	0	14	7		
143	0	0	14	7		
144	0	0	14	7		
145	0	0	14	6		
146	0	0	13	6		
147	0	0	12	6		
148	0	0	12	6		
149	0	0	12	6		
150	0	0	11	6		
151	0	0	9	6		
152	0	0	8	6		
153	0	0	8	6		
154	0	0	8	6		
155	0	0	8	6		
156	0	0	8	6		
157	0	0	8	6		
158	0	0	8	6		
159	0	0	7	6		
160	0	0	6	6		
161	0	0	6	6		
162	0	0	6	6		
163	0	0	6	6		
164	0	0	6	5		
165	0	0	6	5		
166	0	0	6	4		
167	0	0	6	3		
168	0	0	6	3		
169	0	0	6	3		
170	0	0	6	3		
171	0	0	6	3		
172	0	0	5	3		
173	0	0	5	3		
174	0	0	5	3		
175	0	0	5	3		
176	0	0	5	3		
177	0	0	4	3		
178	0	0	4	3		
179	0	0	3	3		
180	0	0	2	3		
181	0	0	2	3		
182	0	0	2	3		
183	0	0	2	3		
184	0	0	2	3		
185	0	0	2	3		
186	0	0	2	3		
187	0	0	2	3		
188	0	0	2	3		
189	0	0	2	3		
190	0	0	2	3		
191	0	0	2	3		
192	0	0	2	2		
193	0	0	2	2		
194	0	0	1	2		
195	0	0	1	2		
196	0	0	1	2		
197	0	0	1	2		
198	0	0	1	2		
199	0	0	1	2		
200	0	0	1	2		
201	0	0	1	2		
202	0	0	1	2		
203	0	0	1	2		
204	0	0	1	2		
205	0	0	1	1		
206	0	0	1	1		
207	0	0	1	1		
208	0	0	1	1		
209	0	0	1	1		
210	0	0	1	1		
211	0	0	1	1		
212	0	0	1	1		
213	0	0	1	1		
214	0	0	1	1		
215	0	0	1	1		
216	0	0	1	1		
217	0	0	1	1		
218	0	0	1	1		
219	0	0	1	1		
220	0	0	1	1		
221	0	0	1	1		
222	0	0	1	1		
223	0	0	1	1		
224	0	0	1	1		
225	0	0	1	1		
226	0	0	1	1		
227	0	0	1	1		
228	0	0	1	1		
229	0	0	1	0		
230	0	0	1	0		
231	0	0	1	0		
232	0	0	1	0		
233	0	0	1	0		
234	0	0	1	0		
235	0	0	1	0		
236	0	0	1	0		
237	0	0	1	0		
238	0	0	1	0		
239	0	0	1	0		
240	0	0	1	0		
241	0	0	1	0		
242	0	0	1	0		
243	0	0	1	0		
244	0	0	1	0		
245	0	0	1	0		
246	0	0	1	0		
247	0	0	1	0		
248	0	0	1	0		
249	0	0	1	0		
250	0	0	1	0		
251	0	0	1	0		
252	0	0	1	0		
253	0	0	1	0		
254	0	0	1	0		
255	0	0	1	0		
256	0	0	1	0		
257	0	0	1	0		
258	0	0	1	0		
259	0	0	1	0		
260	0	0	1	0		
261	0	0	1	0		
262	0	0	1	0		
263	0	0	1	0		
264	0	0	1	0		
265	0	0	1	0		
266	0	0	1	0		
267	0	0	1	0		
268	0	0	1	0		
269	0	0	1	0		
270	0	0	1	0		
271	0	0	1	0		
272	0	0	1	0		
273	0	0	1	0		
274	0	0	1	0		
275	0	0	1	0		
276	0	0	1	0		
277	0	0	1	0		
