Days	Tier1	Tier2	Tier3	Tier4		Tier1 %	Tier2 %	Tier3 %	Tier4 %
0	774160	906358	273973	6617		88.92%	88.83%	88.88%	88.87%
1	9343	10922	3314	79		1.07%	1.07%	1.08%	1.06%
2	5806	6923	2053	56		0.67%	0.68%	0.67%	0.75%
3	4482	5320	1644	48		0.51%	0.52%	0.53%	0.64%
4	3890	4510	1342	26		0.45%	0.44%	0.44%	0.35%
5	3443	4243	1186	28		0.40%	0.42%	0.38%	0.38%
6	3436	4126	1260	33		0.39%	0.40%	0.41%	0.44%
7	3187	3753	1135	28		0.37%	0.37%	0.37%	0.38%
8	2493	2976	863	20		0.29%	0.29%	0.28%	0.27%
9	2146	2598	753	18		0.25%	0.25%	0.24%	0.24%
10	1986	2328	719	15		0.23%	0.23%	0.23%	0.20%
11	1814	2265	679	20		0.21%	0.22%	0.22%	0.27%
12	1912	2274	681	19		0.22%	0.22%	0.22%	0.26%
13	2073	2379	743	21		0.24%	0.23%	0.24%	0.28%
14	2112	2439	758	15		0.24%	0.24%	0.25%	0.20%
15	1698	2139	627	12		0.20%	0.21%	0.20%	0.16%
16	1511	1852	563	15		0.17%	0.18%	0.18%	0.20%
17	1510	1688	536	16		0.17%	0.17%	0.17%	0.21%
18	1413	1648	479	8		0.16%	0.16%	0.16%	0.11%
19	1412	1643	501	11		0.16%	0.16%	0.16%	0.15%
20	1558	1790	488	14		0.18%	0.18%	0.16%	0.19%
21	1660	1965	592	19		0.19%	0.19%	0.19%	0.26%
22	1294	1572	498	8		0.15%	0.15%	0.16%	0.11%
23	1126	1330	424	6		0.13%	0.13%	0.14%	0.08%
24	1147	1295	375	8		0.13%	0.13%	0.12%	0.11%
25	1131	1302	403	5		0.13%	0.13%	0.13%	0.07%
26	1053	1257	382	10		0.12%	0.12%	0.12%	0.13%
27	1232	1446	442	8		0.14%	0.14%	0.14%	0.11%
28	1170	1394	416	11		0.13%	0.14%	0.13%	0.15%
29	1022	1091	359	8		0.12%	0.11%	0.12%	0.11%
30	834	1058	279	11		0.10%	0.10%	0.09%	0.15%
31	835	954	316	5		0.10%	0.09%	0.10%	0.07%
32	852	973	264	8		0.10%	0.10%	0.09%	0.11%
33	832	1041	314	5		0.10%	0.10%	0.10%	0.07%
34	892	1087	314	12		0.10%	0.11%	0.10%	0.16%
35	959	1109	349	9		0.11%	0.11%	0.11%	0.12%
36	803	927	292	7		0.09%	0.09%	0.09%	0.09%
37	711	821	270	5		0.08%	0.08%	0.09%	0.07%
38	708	813	275	7		0.08%	0.08%	0.09%	0.09%
39	684	815	231	5		0.08%	0.08%	0.07%	0.07%
40	728	907	251	9		0.08%	0.09%	0.08%	0.12%
41	842	961	316	7		0.10%	0.09%	0.10%	0.09%
42	904	1035	314	8		0.10%	0.10%	0.10%	0.11%
43	713	840	262	3		0.08%	0.08%	0.08%	0.04%
44	687	785	246	10		0.08%	0.08%	0.08%	0.13%
45	678	751	239	6		0.08%	0.07%	0.08%	0.08%
46	670	695	207	2		0.08%	0.07%	0.07%	0.03%
47	679	771	232	4		0.08%	0.08%	0.08%	0.05%
48	782	914	273	2		0.09%	0.09%	0.09%	0.03%
49	786	869	251	7		0.09%	0.09%	0.08%	0.09%
50	631	761	225	10		0.07%	0.07%	0.07%	0.13%
51	616	778	240	4		0.07%	0.08%	0.08%	0.05%
52	578	749	224	4		0.07%	0.07%	0.07%	0.05%
53	591	690	213	4		0.07%	0.07%	0.07%	0.05%
54	625	637	179	6		0.07%	0.06%	0.06%	0.08%
55	624	738	230	3		0.07%	0.07%	0.07%	0.04%
56	688	752	225	4		0.08%	0.07%	0.07%	0.05%
57	566	700	188	5		0.07%	0.07%	0.06%	0.07%
58	546	655	196	4		0.06%	0.06%	0.06%	0.05%
59	500	596	172	9		0.06%	0.06%	0.06%	0.12%
60	495	660	194	5		0.06%	0.06%	0.06%	0.07%
61	567	642	220	4		0.07%	0.06%	0.07%	0.05%
62	516	625	210	5		0.06%	0.06%	0.07%	0.07%
63	574	696	193	5		0.07%	0.07%	0.06%	0.07%
64	443	554	161	5		0.05%	0.05%	0.05%	0.07%
65	414	535	174	1		0.05%	0.05%	0.06%	0.01%
66	389	474	143	8		0.04%	0.05%	0.05%	0.11%
67	344	428	110	2		0.04%	0.04%	0.04%	0.03%
68	340	382	130	2		0.04%	0.04%	0.04%	0.03%
69	418	489	134	1		0.05%	0.05%	0.04%	0.01%
70	454	582	146	4		0.05%	0.06%	0.05%	0.05%
71	326	406	120	1		0.04%	0.04%	0.04%	0.01%
72	283	358	110	0		0.03%	0.04%	0.04%	0.00%
73	305	363	95	2		0.04%	0.04%	0.03%	0.03%
74	244	290	97	3		0.03%	0.03%	0.03%	0.04%
75	281	301	91	3		0.03%	0.03%	0.03%	0.04%
76	260	298	73	4		0.03%	0.03%	0.02%	0.05%
77	174	214	58	4		0.02%	0.02%	0.02%	0.05%
78	12	16	2	0		0.00%	0.00%	0.00%	0.00%
	870603	1020321	308236	7446		100.00%	100.00%	100.00%	100.00%
