Days	Tier1	Tier2	Tier3	Tier4		Tier3 %	Tier4 %
0	870604	1020321	67782	2407		21.99%	32.33%
1	0	0	23304	351		7.56%	4.71%
2	0	0	14588	248		4.73%	3.33%
3	0	0	11341	153		3.68%	2.05%
4	0	0	9619	149		3.12%	2.00%
5	0	0	8764	136		2.84%	1.83%
6	0	0	8733	122		2.83%	1.64%
7	0	0	7964	139		2.58%	1.87%
8	0	0	6243	109		2.03%	1.46%
9	0	0	5421	94		1.76%	1.26%
10	0	0	4962	86		1.61%	1.15%
11	0	0	4691	87		1.52%	1.17%
12	0	0	4817	69		1.56%	0.93%
13	0	0	5135	81		1.67%	1.09%
14	0	0	5233	91		1.70%	1.22%
15	0	0	4418	58		1.43%	0.78%
16	0	0	3879	62		1.26%	0.83%
17	0	0	3676	74		1.19%	0.99%
18	0	0	3494	54		1.13%	0.73%
19	0	0	3509	58		1.14%	0.78%
20	0	0	3768	82		1.22%	1.10%
21	0	0	4159	77		1.35%	1.03%
22	0	0	3301	71		1.07%	0.95%
23	0	0	2826	60		0.92%	0.81%
24	0	0	2768	57		0.90%	0.77%
25	0	0	2775	66		0.90%	0.89%
26	0	0	2640	62		0.86%	0.83%
27	0	0	3051	77		0.99%	1.03%
28	0	0	2932	59		0.95%	0.79%
29	0	0	2432	48		0.79%	0.64%
30	0	0	2129	53		0.69%	0.71%
31	0	0	2072	38		0.67%	0.51%
32	0	0	2047	50		0.66%	0.67%
33	0	0	2158	34		0.70%	0.46%
34	0	0	2261	44		0.73%	0.59%
35	0	0	2364	62		0.77%	0.83%
36	0	0	1985	44		0.64%	0.59%
37	0	0	1770	37		0.57%	0.50%
38	0	0	1762	41		0.57%	0.55%
39	0	0	1697	38		0.55%	0.51%
40	0	0	1836	59		0.60%	0.79%
41	0	0	2082	44		0.68%	0.59%
42	0	0	2212	49		0.72%	0.66%
43	0	0	1767	51		0.57%	0.68%
44	0	0	1700	28		0.55%	0.38%
45	0	0	1634	40		0.53%	0.54%
46	0	0	1537	37		0.50%	0.50%
47	0	0	1636	50		0.53%	0.67%
48	0	0	1914	57		0.62%	0.77%
49	0	0	1867	46		0.61%	0.62%
50	0	0	1586	41		0.51%	0.55%
51	0	0	1591	47		0.52%	0.63%
52	0	0	1517	38		0.49%	0.51%
53	0	0	1458	40		0.47%	0.54%
54	0	0	1399	48		0.45%	0.64%
55	0	0	1551	44		0.50%	0.59%
56	0	0	1621	48		0.53%	0.64%
57	0	0	1412	47		0.46%	0.63%
58	0	0	1359	42		0.44%	0.56%
59	0	0	1225	52		0.40%	0.70%
60	0	0	1309	45		0.42%	0.60%
61	0	0	1386	47		0.45%	0.63%
62	0	0	1302	54		0.42%	0.73%
63	0	0	1416	52		0.46%	0.70%
64	0	0	1121	42		0.36%	0.56%
65	0	0	1072	52		0.35%	0.70%
66	0	0	962	52		0.31%	0.70%
67	0	0	844	40		0.27%	0.54%
68	0	0	828	26		0.27%	0.35%
69	0	0	997	45		0.32%	0.60%
70	0	0	1145	41		0.37%	0.55%
71	0	0	806	47		0.26%	0.63%
72	0	0	712	39		0.23%	0.52%
73	0	0	714	51		0.23%	0.68%
74	0	0	597	37		0.19%	0.50%
75	0	0	632	44		0.21%	0.59%
76	0	0	591	44		0.19%	0.59%
77	0	0	402	48		0.13%	0.64%
78	0	0	26	4		0.01%	0.05%
	870604	1020321	308236	7446		100.00%	100.00%
