Segment Code	Frequency	Freq_Percentage
11542	17	0.0000%
11540	246	0.0002%
11541	100	0.0001%
11547	624	0.0005%
11544	2266	0.0017%
11545	171	0.0001%
11548	765	0.0006%
11549	1594	0.0012%
344	53274	0.0411%
345	39868	0.0308%
346	371694	0.2870%
347	115873	0.0895%
340	135095	0.1043%
341	112514	0.0869%
342	125417	0.0968%
343	40196	0.0310%
348	125498	0.0969%
349	96657	0.0746%
12709	9	0.0000%
3236	1	0.0000%
298	162437	0.1254%
296	36585	0.0282%
297	20654	0.0159%
294	27616	0.0213%
295	102226	0.0789%
293	274842	0.2122%
290	56892	0.0439%
291	9077	0.0070%
278	984	0.0008%
279	160601	0.1240%
9638	105882	0.0818%
9321	83	0.0001%
22879	98353	0.0759%
2638	170934	0.1320%
5407	305821	0.2361%
5406	310224	0.2395%
5405	437564	0.3379%
1435	16	0.0000%
27506	2	0.0000%
5182	21725	0.0168%
5183	326449	0.2521%
3205	246	0.0002%
5181	36276	0.0280%
1995	56	0.0000%
5187	217899	0.1683%
5184	115454	0.0891%
3200	2273	0.0018%
1999	367	0.0003%
1998	141	0.0001%
5188	28770	0.0222%
5189	8470	0.0065%
3209	125	0.0001%
3208	38	0.0000%
14712	35	0.0000%
14714	2	0.0000%
5409	359922	0.2779%
14716	31	0.0000%
14717	1	0.0000%
1439	46864	0.0362%
1365	64	0.0000%
5450	45226	0.0349%
5451	89414	0.0690%
5452	93933	0.0725%
5453	114842	0.0887%
5454	239065	0.1846%
5455	131882	0.1018%
511	425	0.0003%
1287	2432	0.0019%
1281	46041	0.0356%
1280	66433	0.0513%
1283	52364	0.0404%
1282	73348	0.0566%
1289	24132	0.0186%
1288	905	0.0007%
516	94	0.0001%
459	23	0.0000%
12833	51	0.0000%
12832	15	0.0000%
12830	31	0.0000%
12837	255	0.0002%
12836	72	0.0001%
12835	31	0.0000%
12834	42	0.0000%
23613	1568	0.0012%
23612	620	0.0005%
12839	86	0.0001%
12838	380	0.0003%
23616	1009	0.0008%
23615	6094	0.0047%
23614	784	0.0006%
407	3100	0.0024%
1340	1515	0.0012%
405	1454	0.0011%
404	1128	0.0009%
403	6622	0.0051%
402	419	0.0003%
401	739	0.0006%
23298	38515	0.0297%
23295	10066	0.0078%
23291	5046	0.0039%
23290	6788	0.0052%
23477	10080	0.0078%
23476	25221	0.0195%
23475	15948	0.0123%
23474	13581	0.0105%
1344	262	0.0002%
23479	16657	0.0129%
23478	26555	0.0205%
23274	4077	0.0031%
1346	3329	0.0026%
457	21	0.0000%
379	913	0.0007%
378	185250	0.1430%
371	945	0.0007%
373	39905	0.0308%
372	427	0.0003%
375	62913	0.0486%
374	63812	0.0493%
377	115005	0.0888%
376	134402	0.1038%
5107	9	0.0000%
393	16882	0.0130%
392	24106	0.0186%
391	339449	0.2621%
390	187507	0.1448%
397	403	0.0003%
396	231206	0.1785%
12714	4	0.0000%
12715	353	0.0003%
399	407	0.0003%
398	450	0.0003%
244	1662	0.0013%
247	4692	0.0036%
246	747	0.0006%
241	11383	0.0088%
240	5082	0.0039%
243	4688	0.0036%
242	80	0.0001%
249	954	0.0007%
248	3040	0.0023%
3201	49	0.0000%
9241	443572	0.3425%
9240	101097	0.0781%
13448	1442	0.0011%
13447	1533	0.0012%
1367	64	0.0000%
3085	1621	0.0013%
23151	236887	0.1829%
9623	55	0.0000%
3229	1	0.0000%
23152	120436	0.0930%
9297	44	0.0000%
3086	344	0.0003%
3081	89	0.0001%
23155	31991	0.0247%
6216	124082	0.0958%
3083	86	0.0001%
1976	4	0.0000%
23157	100987	0.0780%
9298	181	0.0001%
6219	189805	0.1466%
6218	25063	0.0194%
1974	2	0.0000%
1971	266	0.0002%
1970	14	0.0000%
1362	119	0.0001%
3233	1	0.0000%
3230	7	0.0000%
3231	586	0.0005%
5199	323056	0.2495%
5198	129712	0.1002%
5195	10170	0.0079%
5194	33821	0.0261%
5197	255441	0.1972%
5196	56709	0.0438%
5191	19573	0.0151%
5190	173585	0.1340%
10082	49086	0.0379%
27547	9	0.0000%
27545	7	0.0000%
27544	23	0.0000%
27543	36	0.0000%
27542	9	0.0000%
27541	6	0.0000%
27540	122	0.0001%
5449	184496	0.1425%
5448	285250	0.2203%
7069	119176	0.0920%
7068	121448	0.0938%
5443	206084	0.1591%
7066	75771	0.0585%
7065	51702	0.0399%
5440	91167	0.0704%
5447	125105	0.0966%
5446	82043	0.0634%
5445	69103	0.0534%
5444	115668	0.0893%
1143	123987	0.0957%
1140	1780	0.0014%
1141	240779	0.1859%
1146	520020	0.4015%
1144	10510	0.0081%
1145	22	0.0000%
1546	174	0.0001%
1547	121	0.0001%
1544	137	0.0001%
1545	199	0.0002%
1548	112	0.0001%
1549	118	0.0001%
31751	816231	0.6303%
31750	54608	0.0422%
31753	376103	0.2904%
31752	721920	0.5574%
9624	33	0.0000%
10	245421	0.1895%
12828	9	0.0000%
12829	19	0.0000%
9989	413623	0.3194%
414	61	0.0000%
410	201	0.0002%
411	1520	0.0012%
412	736	0.0006%
413	472	0.0004%
23280	71464	0.0552%
23285	32819	0.0253%
23267	76834	0.0593%
23268	124489	0.0961%
23269	29132	0.0225%
13999	957	0.0007%
11365	144	0.0001%
368	917	0.0007%
369	203	0.0002%
367	79	0.0001%
364	32	0.0000%
365	692	0.0005%
362	465	0.0004%
363	173	0.0001%
360	128103	0.0989%
361	571	0.0004%
2760	92	0.0001%
16129	47245	0.0365%
16128	56257	0.0434%
16125	110976	0.0857%
16124	80367	0.0621%
16127	62066	0.0479%
16126	103993	0.0803%
380	35085	0.0271%
