			#visits(sessions)					Duration over that vists					day difference				Session Frequency	Frequency Ratio
value visitors	Total #unique IDs		1 session	2  sessions	3  sessions	4  sessions	5 sessions+	1 session	2  sessions	3  sessions	4  sessions	5 sessions+	1~2	2~3	3~4	4~5		
tier1:bouncer (1 session/one page only)	11		11	0	0	0	0	0:00:00	0	0	0	0	0	0	0	0	11	
tier2: 1x Session/ 2+ pages	13		13	0	0	0	0	0:02:15	0	0	0	0	0	0	0	0	13	
tier3: High value visitors (2+ sessions/2+ pages)	3		3	3	1	0	0	0:05:14	0:00:30	0:00:00	0	0	3	16	0	0	7	
tier4: converters (book or held online)	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
User count	27																	
																		
																		
		good																
